Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Locate,Chrome 114.0.0.0,,,2023-06-17 11:54:25,2023-06-17 11:55:27,1m - 1.928s,PASSED
,,,,,,,
Test Cases/TC001,Chrome 114.0.0.0,,,2023-06-17 11:54:26,2023-06-17 11:54:45,19.215s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-17 11:54:26,2023-06-17 11:54:29,2.783s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 114.0.0.0,,,2023-06-17 11:54:29,2023-06-17 11:54:33,4.581s,PASSED
"setText(findTestObject(""Object Repository/Page_Home  Service NSW/input_Service NSW makes it easier to find g_bdb6ca""), ""Apply for a number plate"")",Chrome 114.0.0.0,,,2023-06-17 11:54:33,2023-06-17 11:54:34,1.040s,PASSED
"click(findTestObject(""Object Repository/Page_Home  Service NSW/button_apply for a number plate_button butt_2c4e78""))",Chrome 114.0.0.0,,,2023-06-17 11:54:34,2023-06-17 11:54:39,4.427s,PASSED
"click(findTestObject(""Object Repository/Page_Search  Service NSW/a_Find locations""))",Chrome 114.0.0.0,,,2023-06-17 11:54:39,2023-06-17 11:54:41,2.573s,PASSED
"setText(findTestObject(""Object Repository/Page_Find a Service NSW location  Service NSW/InputSearch""), ""Sydney 2000"")",Chrome 114.0.0.0,,,2023-06-17 11:54:41,2023-06-17 11:54:44,2.153s,PASSED
"click(findTestObject(""Object Repository/Page_Find a Service NSW location  Service NSW/button_Sydney Olympic Park 2127_button butt_9c60bd""))",Chrome 114.0.0.0,,,2023-06-17 11:54:44,2023-06-17 11:54:44,0.504s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-17 11:54:44,2023-06-17 11:54:45,0.698s,PASSED
,,,,,,,
Test Cases/TC001,Chrome 114.0.0.0,,,2023-06-17 11:54:45,2023-06-17 11:54:59,13.643s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-17 11:54:45,2023-06-17 11:54:46,1.270s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 114.0.0.0,,,2023-06-17 11:54:46,2023-06-17 11:54:49,2.455s,PASSED
"setText(findTestObject(""Object Repository/Page_Home  Service NSW/input_Service NSW makes it easier to find g_bdb6ca""), ""Apply for a number plate"")",Chrome 114.0.0.0,,,2023-06-17 11:54:49,2023-06-17 11:54:50,0.970s,PASSED
